p_name,AOI,dwell_duration,conformity_score,revisiting_score,seq_bar_length,re_reading_bar_length,trial,dwell_duration_log,bar_position,dwell_lt_100ms
P1,R6_AWARELINK,110,1,2,1.1,0.6,147,3,548.5,0
P1,G2_OBJ,7231,1,3,1.1,0.8999999999999999,148,5,552.5,NA
P1,R6_AWARELINK,250,1,3,1.1,0.8999999999999999,149,3,556.5,0
P1,G2_OBJ,130,1,3,1.1,0.8999999999999999,150,3,559.5,0
P1,R6_AWARELINK,90,1,3,1.1,0.8999999999999999,151,3,562.5,0
P1,G2_OBJ,50,1,3,1.1,0.8999999999999999,152,3,565.5,0
P1,R6_AWARELINK,570,1,3,1.1,0.8999999999999999,153,4,569,NA
P1,G2_OBJ,100,1,3,1.1,0.8999999999999999,154,3,572.5,0
P1,R6_AWARELINK,1280,1,3,1.1,0.8999999999999999,155,4,576,NA
P1,G2_OBJ,60,2,2,1.2,0.6,156,3,579.5,0
P1,R6_AWARELINK,4271,3,2,1.3,0.6,157,5,583.5,NA
P1,MISC_P5,170,2,2,1.2,0.6,158,3,587.5,0
P1,R6_AWARELINK,1841,1,3,1.1,0.8999999999999999,159,4,591,NA
P1,MISC_P5,50,1,2,1.1,0.6,160,3,594.5,0
P1,R6_AWARELINK,2741,0,1,1,0.3,161,4,598,NA
P1,G3_DIFF,690,0,1,1,0.3,162,4,602,NA
P1,MISC_P5,330,1,1,1.1,0.3,163,4,606,NA
P1,G3_DIFF,350,1,1,1.1,0.3,164,4,610,NA
P1,G2_OBJ,350,1,0,1.1,0,165,4,614,NA
P1,R6_AWARELINK,210,1,1,1.1,0.3,166,3,617.5,0
P1,G3_DIFF,2781,0,2,1,0.6,167,4,621,NA
P1,R6_AWARELINK,70,0,3,1,0.8999999999999999,168,3,624.5,0
P1,G3_DIFF,3711,0,3,1,0.8999999999999999,169,5,628.5,NA
P1,R6_AWARELINK,360,0,2,1,0.6,170,4,633,NA
P1,G3_DIFF,6361,0,1,1,0.3,171,5,637.5,NA
P1,G2_OBJ,140,0,0,1,0,172,3,641.5,0
P1,MISC_P5,13023,1,1,1.1,0.3,173,5,645.5,NA
P1,G3_DIFF,220,1,2,1.1,0.6,174,3,649.5,0
P1,MISC_P5,110,1,3,1.1,0.8999999999999999,175,3,652.5,0
P1,G3_DIFF,2520,1,2,1.1,0.6,176,4,656,NA
P1,MISC_P5,250,0,1,1,0.3,177,3,659.5,0
P1,D1,13542,0,0,1,0,178,5,663.5,NA
P1,C3_SUBJ_2,200,0,0,1,0,179,3,667.5,0
P1,R4_AWAREPRIME,230,0,0,1,0,180,3,670.5,0
P1,R3_DIFF,340,0,1,1,0.3,181,4,674,NA
P1,R5_AWAREEFFECT,120,0,1,1,0.3,182,3,677.5,0
P1,R3_DIFF,260,2,1,1.2,0.3,183,3,680.5,0
P1,R4_AWAREPRIME,80,3,1,1.3,0.3,184,3,683.5,0
P1,R5_AWAREEFFECT,1970,2,2,1.2,0.6,185,4,687,NA
P1,R4_AWAREPRIME,210,1,2,1.1,0.6,186,3,690.5,0
P1,R5_AWAREEFFECT,1321,1,1,1.1,0.3,187,4,694,NA
P1,R6_AWARELINK,7671,0,0,1,0,188,5,698.5,NA
P1,G2_OBJ,230,0,0,1,0,189,3,702.5,0
P1,R5_AWAREEFFECT,1870,0,0,1,0,190,4,706,NA
P1,MISC_P5,9102,0,0,1,0,191,5,710.5,NA
P1,D1,8502,1,1,1.1,0.3,192,5,715.5,NA
P1,D2,90,1,2,1.1,0.6,193,3,719.5,0
P1,D1,45997,1,3,1.1,0.8999999999999999,194,6,724,NA
P1,D2,1290,1,3,1.1,0.8999999999999999,195,4,729,NA
P1,D1,300,1,3,1.1,0.8999999999999999,196,3,732.5,0
P1,D2,50,1,3,1.1,0.8999999999999999,197,3,735.5,0
P1,D1,70,2,2,1.2,0.6,198,3,738.5,0
P1,D2,14293,3,1,1.3,0.3,199,5,742.5,NA
P1,MISC_P6,1040,2,0,1.2,0,200,4,747,NA
P1,C3_SUBJ_1,50,0,0,1,0,201,3,750.5,0
P1,C1_E1,50,0,1,1,0.3,202,3,753.5,0
P1,MISC_P6,4372,3,1,1.3,0.3,203,5,757.5,NA
P1,C1_E1,12012,5,1,1.5,0.3,204,5,762.5,NA
P1,C2_OBJ,52646,5,1,1.5,0.3,205,6,768,NA
P1,C3_SUBJ_1,13542,3,1,1.3,0.3,206,5,773.5,NA
P1,C2_OBJ,1050,0,1,1,0.3,207,4,778,NA
P1,C4_AWARE,110,0,1,1,0.3,208,3,781.5,0
P1,C3_SUBJ_2,8621,1,1,1.1,0.3,209,5,785.5,NA
P1,C4_AWARE,36337,1,2,1.1,0.6,210,6,791,NA
P1,D2,120,0,1,1,0.3,211,3,795.5,0
P1,C4_AWARE,5581,1,1,1.1,0.3,212,5,799.5,NA
P1,C5_PRIMING,33276,1,0,1.1,0,213,6,805,NA
